,index,BasePay,OvertimePay,OtherPay,TotalPay
109,338,130481.52,25861.6,38477.41,194820.53
110,340,113021.59,58660.17,23043.77,194725.53
111,344,140546.88,20673.41,33033.7,194253.99
112,351,153932.54,21953.42,18028.73,193914.69
113,352,132224.22,40592.45,21086.11,193902.78
114,358,122404.97,55004.96,16199.59,193609.52
115,359,123104.98,54870.85,15365.22,193341.05
116,377,130466.61,30544.79,31574.4,192585.8
117,378,127203.03,47341.24,17982.25,192526.52
118,384,122404.99,54524.26,15277.88,192207.13
119,391,140441.86,33587.61,17740.91,191770.38
120,418,118167.0,51007.74,20541.0,189715.74
121,419,130457.95,41304.21,17904.06,189666.22
122,422,123105.02,51115.99,15365.22,189586.23
123,423,126857.59,45929.05,16784.8,189571.44
124,424,140546.88,31454.05,17542.3,189543.23
125,431,127203.01,45392.98,16445.1,189041.09
126,433,123169.95,45679.84,20149.41,188999.2
127,435,123105.01,50096.28,15549.0,188750.29
128,444,122404.98,50720.85,15277.83,188403.66
129,446,122404.97,50976.69,14966.3,188347.96
130,447,122404.97,50649.77,15277.8,188332.54
131,456,127203.01,41809.29,18749.8,187762.1
132,457,137026.86,33397.36,17246.59,187670.81
133,460,137399.95,33554.54,16643.23,187597.72
134,469,130481.54,35508.55,20947.8,186937.89
135,471,149050.76,22203.89,15557.27,186811.92
136,474,130476.4,40102.94,16067.38,186646.72
137,475,130543.29,31740.87,24346.72,186630.88
138,478,140546.87,28449.31,17542.29,186538.47
139,481,130466.65,26074.89,29954.29,186495.83
140,483,130481.5,37935.71,18026.19,186443.4
141,484,130505.19,33859.27,22045.83,186410.29
142,485,126732.39,44586.06,15058.44,186376.89
143,486,130466.6,28591.77,27311.59,186369.96
144,492,129252.01,30839.74,26013.27,186105.02
145,494,123013.0,47172.46,15863.95,186049.41
146,496,123105.0,38790.92,23865.0,185760.92
147,528,130476.4,25640.9,29287.06,185404.36
148,531,117225.66,20304.62,47786.99,185317.27
149,535,123105.01,44580.64,17568.84,185254.49
150,543,122404.99,48379.4,14049.85,184834.24
151,544,130457.94,18721.14,35382.94,184562.02
152,545,123105.02,45870.31,15554.55,184529.88
153,550,140546.89,23373.0,20287.81,184207.7
154,553,140546.85,26059.18,17542.28,184148.31
155,558,130457.89,29541.31,23939.28,183938.48
156,577,111580.9,20803.92,50782.71,183167.53
157,578,135363.4,24191.75,23587.59,183142.74
158,585,123105.03,40530.24,19329.42,182964.69
159,592,130457.95,39050.79,13229.0,182737.74
160,593,122418.29,44409.33,15903.78,182731.4
161,599,123104.99,45235.11,14260.84,182600.94
162,602,128147.09,28395.71,25920.06,182462.86
163,608,123105.01,29706.88,29399.75,182211.64
164,610,140546.87,24805.87,16826.88,182179.62
165,612,114085.47,25151.72,42848.45,182085.64
166,618,117283.28,19945.35,44703.15,181931.78
167,620,130466.56,25980.73,25444.5,181891.79
168,622,123104.99,42591.46,16113.6,181810.05
169,623,127203.03,33167.28,21427.23,181797.54
170,627,123104.99,43094.08,15445.81,181644.88
171,629,149050.44,19290.61,13299.52,181640.57
172,631,130457.96,24452.64,26690.3,181600.9
173,632,135660.87,28860.72,17067.9,181589.49
174,634,130457.92,28547.3,22541.64,181546.86
175,638,112401.07,20913.39,48131.3,181445.76
176,645,123105.02,41689.64,16302.93,181097.59
177,676,122405.0,43235.97,14654.75,180295.72
178,699,130457.93,22935.98,25784.81,179178.72
179,703,123105.02,37766.24,18122.53,178993.79
180,709,123105.01,45039.03,10652.23,178796.27
181,710,122404.99,41100.06,15277.8,178782.85
182,714,123105.0,38566.1,17030.62,178701.72
183,715,123104.99,39965.16,15550.72,178620.87
184,716,123105.02,39356.21,16054.24,178515.47
185,720,130481.55,27624.39,20278.84,178384.78
186,723,122404.99,39315.26,16567.53,178287.78
187,725,122404.99,40274.32,15568.88,178248.19
188,732,134605.88,20264.64,23079.29,177949.81
189,734,140546.85,24274.27,13087.88,177909.0
190,735,130466.61,27624.48,19707.47,177798.56
191,738,123105.0,38473.45,16054.21,177632.66
192,744,123105.01,38334.82,16053.91,177493.74
193,746,130481.51,36222.99,10750.22,177454.72
194,747,127202.99,32523.04,17703.9,177429.93
195,766,121630.54,39140.57,16169.43,176940.54
196,769,130393.9,22429.38,24070.82,176894.1
197,775,127203.02,26298.18,23370.63,176871.83
198,776,123105.03,30463.43,23295.68,176864.14
199,788,122404.98,39453.51,14952.57,176811.06
200,790,115295.04,46836.09,14548.88,176680.01
201,793,122405.0,38629.34,15551.57,176585.91
202,794,122404.99,38040.92,15966.83,176412.74
203,798,122405.0,31075.68,22746.49,176227.17
204,804,122404.99,36468.91,17130.63,176004.53
205,807,122404.99,37038.11,16496.74,175939.84
206,811,123105.0,33976.93,18623.36,175705.29
207,813,130481.59,19391.55,25686.52,175559.66
208,814,130466.64,23225.25,21840.4,175532.29
209,817,130466.56,21837.15,22994.92,175298.63
210,832,110638.64,47372.92,17031.96,175043.52
211,844,110638.66,42866.54,21139.67,174644.87
212,847,140546.88,20407.79,13637.71,174592.38
213,849,130466.5,23147.3,20954.36,174568.16
214,852,118075.54,41650.07,14749.96,174475.57
215,854,130466.6,22127.1,21782.73,174376.43
216,857,122404.99,37258.55,14672.97,174336.51
217,879,127203.0,21443.56,25343.8,173990.36
218,881,112758.78,23552.64,37643.11,173954.53
219,893,120729.63,35170.62,17429.5,173329.75
220,894,123105.01,30347.94,19821.23,173274.18
221,902,115966.61,43502.56,13560.15,173029.32
222,903,130481.54,23173.73,19224.47,172879.74
223,907,123105.01,30746.39,18906.51,172757.91
224,925,123105.0,36525.73,12327.61,171958.34
225,937,112421.43,19964.24,39230.58,171616.25
226,942,127681.16,26427.84,17387.25,171496.25
227,945,130457.95,27678.4,13272.92,171409.27
228,961,122404.99,33452.52,14928.48,170785.99
229,967,128742.45,24428.01,17447.21,170617.67
230,972,124863.62,31978.14,13593.7,170435.46
231,976,122404.98,32584.75,15277.8,170267.53
232,978,130466.58,20619.01,19145.69,170231.28
233,982,123105.0,31227.51,15842.22,170174.73
234,983,122405.0,32171.52,15551.55,170128.07
235,986,135103.4,23598.47,11377.28,170079.15
236,1006,122283.44,31623.64,15536.35,169443.43
237,1011,123105.01,26801.45,19323.1,169229.56
238,1015,130434.33,24604.97,14106.1,169145.4
239,1019,127203.02,18824.24,22943.38,168970.64
240,1020,112401.07,36539.49,20015.14,168955.7
241,1027,122594.0,29707.65,16418.75,168720.4
242,1028,123012.99,30224.22,15426.7,168663.91
243,1035,123105.01,32586.59,12782.4,168474.0
244,1048,129864.73,19294.07,18867.59,168026.39
245,1099,130457.87,22262.03,14752.3,167472.2
246,1110,110638.66,31937.91,24623.84,167200.41
247,1113,110638.67,31946.87,24392.23,166977.77
248,1116,127886.01,21172.38,17900.78,166959.17
249,1122,118177.59,21963.98,26687.81,166829.38
250,1129,130589.91,18924.51,17105.0,166619.42
251,1139,123104.99,19933.0,23229.83,166267.82
252,1146,117283.24,23560.82,25182.92,166026.98
253,1148,130434.16,18930.96,16582.36,165947.48
254,1152,111825.01,35791.99,18244.37,165861.37
255,1154,130456.99,22872.83,12510.14,165839.96
256,1155,130481.46,18776.99,16574.22,165832.67
257,1160,117283.24,27923.92,20563.7,165770.86
258,1161,116975.68,18646.53,30146.84,165769.05
259,1162,122420.0,25246.78,18090.73,165757.51
260,1166,123105.0,21405.25,21162.35,165672.6
261,1171,127203.01,19035.35,19383.26,165621.62
262,1179,130434.33,19744.98,15320.9,165500.21
263,1181,130481.58,23934.63,11063.7,165479.91
264,1182,123105.01,27590.11,14756.8,165451.92
265,1186,122404.99,32075.58,10860.29,165340.86
266,1189,130457.88,18253.35,16549.16,165260.39
267,1191,112421.46,20737.03,32091.91,165250.4
268,1193,112401.06,26020.84,26814.26,165236.16
269,1196,123104.99,25558.88,16501.22,165165.09
270,1197,122404.99,27475.6,15277.83,165158.42
271,1204,117283.26,21008.81,26777.77,165069.84
272,1212,127203.01,18389.94,19337.3,164930.25
273,1213,128123.95,22989.43,13781.92,164895.3
274,1215,122404.98,28016.34,14437.68,164859.0
275,1220,115125.18,22664.51,26982.29,164771.98
276,1224,130170.34,23266.65,11220.89,164657.88
277,1230,115946.22,20010.89,28583.36,164540.47
278,1317,122243.94,23084.22,18975.89,164304.05
279,1335,121645.25,24565.3,17847.31,164057.86
280,1354,127886.02,25393.97,10590.15,163870.14
281,1360,112421.45,33142.82,18240.56,163804.83
282,1365,123192.16,29220.92,11341.21,163754.29
283,1367,117262.93,19565.41,26910.77,163739.11
284,1368,127203.0,18430.17,18076.91,163710.08
285,1376,123105.0,25091.89,15424.82,163621.71
286,1382,122404.96,25873.52,15277.85,163556.33
287,1395,122404.99,25622.57,15277.87,163305.43
288,1408,123104.98,24626.67,15365.2,163096.85
289,1420,123105.02,24074.83,15743.89,162923.74
290,1422,122405.0,25212.88,15277.84,162895.72
291,1423,115873.07,27287.4,19725.39,162885.86
292,1428,112421.44,24554.06,25831.46,162806.96
293,1439,122007.76,25287.68,15261.99,162557.43
294,1454,112421.44,28437.14,21492.18,162350.76
295,1458,130481.55,21374.34,10465.24,162321.13
296,1480,123105.0,22863.67,15723.68,161692.35
297,1496,110638.65,32815.84,17862.76,161317.25
298,1508,123105.0,21371.42,16650.25,161126.67
299,1513,113225.29,19975.15,27801.57,161002.01
300,1535,115295.02,30791.55,14508.66,160595.23
301,1547,127969.56,22014.16,10400.02,160383.74
302,1548,122404.99,23897.35,14055.78,160358.12
303,1550,122404.99,23674.87,14189.67,160269.53
304,1555,120798.63,24298.56,15076.89,160174.08
305,1576,127203.02,19027.03,13556.06,159786.11
306,1583,111890.05,20662.03,27145.56,159697.64
307,1614,122404.99,21399.68,15277.83,159082.5
308,1616,110806.97,22595.95,25667.2,159070.12
309,1621,122404.98,20948.38,15551.52,158904.88
310,1643,122405.0,24473.67,11661.38,158540.05
311,1646,110242.88,18490.87,29768.34,158502.09
312,1654,117646.08,26028.61,14684.31,158359.0
313,1663,117283.23,19660.76,21357.48,158301.47
314,1665,122404.99,19808.82,16080.38,158294.19
315,1670,123105.0,19596.2,15427.61,158128.81
316,1672,112421.42,29602.86,16055.79,158080.07
317,1684,123105.0,20476.95,14306.83,157888.78
318,1686,123105.02,18285.6,16464.73,157855.35
319,1692,117303.66,18969.48,21404.66,157677.8
320,1699,122405.0,24259.03,10924.78,157588.81
321,1702,112380.71,21066.33,24057.29,157504.33
322,1709,122405.0,20368.79,14654.72,157428.51
323,1714,123104.99,18609.57,15549.02,157263.58
324,1718,122405.0,19364.94,15447.85,157217.79
325,1721,112421.44,18866.84,25905.23,157193.51
326,1747,122404.99,19155.21,15463.34,157023.54
327,1757,112421.43,25135.94,19337.19,156894.56
328,1761,110638.63,30365.93,15739.13,156743.69
329,1763,122404.98,19050.61,15277.83,156733.42
330,1765,122404.96,20126.38,14189.69,156721.03
331,1773,115295.01,29870.13,11452.85,156617.99
332,1776,122404.99,18882.41,15277.83,156565.23
333,1779,112421.42,25504.93,18608.36,156534.71
334,1781,123105.02,20417.02,12997.54,156519.58
335,1784,120988.29,23233.24,12284.68,156506.21
336,1827,121579.09,19131.14,15174.57,155884.8
337,1831,122405.01,18168.71,15277.79,155851.51
338,1847,110238.92,30434.76,14819.29,155492.97
339,1867,122405.0,21783.02,10924.82,155112.84
340,1883,122404.96,18641.54,13824.34,154870.84
341,1975,110242.93,25063.35,18150.67,153456.95
342,2028,117303.69,22102.37,13653.39,153059.45
343,2060,115441.84,22670.35,14624.33,152736.52
344,2088,123105.02,18535.23,10673.69,152313.94
345,2240,111910.2,25999.19,11743.82,149653.21
346,2337,110638.67,22307.53,15515.3,148461.5
347,2438,115839.94,18499.4,12817.24,147156.58
348,2491,112401.07,18517.31,15828.05,146746.43
349,2686,111910.2,18615.59,13792.67,144318.46
350,2688,112421.46,18612.73,13266.74,144300.93
351,2794,112401.07,19398.77,11285.74,143085.58
352,2932,111674.67,18521.81,11506.65,141703.13
353,36159,128808.87,220909.48,13126.31,362844.66
354,36161,111921.0,146415.32,78057.41,336393.73
355,36163,126863.19,192424.49,17917.18,337204.86
356,36168,204032.52,85503.16,26193.09,315728.77
357,36169,174822.47,118215.58,28845.78,321883.83
358,36170,174822.44,112731.28,28660.28,316214.0
359,36171,176771.74,124413.13,15803.39,316988.26
360,36172,174822.41,99623.51,36522.39,310968.31
361,36173,124573.5,22599.6,180516.68,327689.78
362,36176,244102.02,24204.66,20232.29,288538.97
363,36180,145659.03,125868.06,30474.97,302002.06
364,36184,145659.03,115673.73,32610.0,293942.76
365,36186,147069.71,113372.94,33012.58,293455.23
366,36189,124573.5,53895.92,130200.4,308669.82
367,36191,208830.92,54545.03,20726.5,284102.45
368,36198,145658.98,114513.29,28743.36,288915.63
369,36201,176515.48,74246.62,23772.0,274534.1
370,36206,128091.78,133645.42,16130.24,277867.44
371,36207,204032.52,29768.35,34685.53,268486.4
372,36208,176515.48,71643.89,23352.06,271511.43
373,36209,202075.56,48667.42,12813.53,263556.51
374,36212,174822.5,67875.53,21516.98,264215.01
375,36214,204032.52,23514.83,29831.6,257378.95
376,36215,174822.48,63116.25,24255.85,262194.58
377,36220,174822.43,53465.15,30760.78,259048.36
378,36221,110847.13,139260.09,17844.19,267951.41
379,36222,174822.44,58091.97,23603.24,256517.65
380,36226,176515.52,54339.84,22064.5,252919.86
381,36227,127573.43,120550.52,14195.17,262319.12
382,36228,176515.52,45860.99,27969.77,250346.28
383,36229,120740.1,123729.82,16194.51,260664.43
384,36230,176515.49,49002.61,24503.36,250021.46
385,36231,128091.78,114613.5,15375.99,258081.27
386,36234,140183.68,82566.67,32936.23,255686.58
387,36239,127573.44,108989.99,22025.46,258588.89
388,36242,128091.81,110423.84,16011.55,254527.2
389,36245,127933.79,110241.31,15563.02,253738.12
390,36248,144510.79,76624.1,32650.42,253785.31
391,36249,146599.41,84399.91,18675.54,249674.86
392,36250,176515.5,41747.56,24263.24,242526.3
393,36253,126863.19,113864.58,11716.55,252444.32
394,36254,128808.87,102878.98,18677.33,250365.18
395,36257,193179.13,33730.44,15773.93,242683.5
396,36259,176515.51,51949.05,13581.09,242045.65
397,36263,174822.43,39792.6,22624.05,237239.08
398,36264,145659.0,77043.41,19712.0,242414.41
399,36267,145659.02,76318.3,18207.39,240184.71
400,36273,174822.44,34670.87,23604.24,233097.55
401,36275,140873.68,80789.33,17493.99,239157.0
402,36278,164827.51,49402.0,19884.49,234114.0
403,36284,110847.12,112211.85,19014.3,242073.27
404,36285,127573.4,97474.3,14566.44,239614.14
405,36287,110847.12,110253.41,19124.51,240225.04
406,36289,127573.41,90736.2,18610.95,236920.56
407,36290,135977.73,65229.56,41854.76,243062.05
408,36293,110847.13,111834.58,17778.34,240460.05
409,36294,126863.18,94661.81,16300.24,237825.23
410,36295,127573.38,93296.0,16695.1,237564.48
411,36300,128808.87,90819.83,17292.95,236921.65
412,36302,110847.12,109506.2,18855.83,239209.15
413,36303,165093.42,54390.01,14857.16,234340.59
414,36306,128808.89,90571.12,16101.16,235481.17
415,36307,126863.21,93158.31,15894.8,235916.32
416,36313,147069.67,56411.49,28918.78,232399.94
417,36319,128576.16,86249.98,21203.48,236029.62
418,36320,141894.01,53486.93,33291.26,228672.2
419,36321,128808.89,88418.36,15718.72,232945.97
420,36324,128808.88,85351.58,17971.12,232131.58
421,36327,126863.19,92637.89,12747.96,232249.04
422,36328,135973.02,50426.43,51111.55,237511.0
423,36332,135977.71,56320.58,41687.47,233985.76
424,36333,127573.37,83318.15,18701.49,229593.01
425,36339,135973.0,71748.62,25766.49,233488.11
426,36341,124175.64,90560.04,15522.02,230257.7
427,36344,145659.05,64739.17,18207.38,228605.6
428,36346,176515.48,34152.34,10590.92,221258.74
429,36350,128808.86,82119.08,15186.76,226114.7
430,36351,176515.52,19046.43,22064.45,217626.4
431,36352,147069.74,56291.36,19463.72,222824.82
432,36353,145659.03,58745.2,19015.94,223420.17
433,36354,128808.9,80376.57,16790.17,225975.64
434,36355,126863.16,88819.1,11139.51,226821.77
435,36356,145492.37,54613.27,26411.3,226516.94
436,36363,175614.01,35195.17,13593.3,224402.48
437,36371,120740.11,84165.89,20421.23,225327.23
438,36374,110847.09,97173.04,18123.48,226143.61
439,36376,119582.0,88182.07,19731.03,227495.1
440,36377,110847.11,86051.23,27479.26,224377.6
441,36382,127573.38,73422.09,21329.26,222324.73
442,36385,147069.69,52922.31,19132.08,219124.08
443,36386,147069.68,61857.99,11448.85,220376.52
444,36387,126863.16,79924.84,15857.94,222645.94
445,36389,127573.39,81788.41,13414.09,222775.89
446,36390,110847.09,95458.63,18566.11,224871.83
447,36394,128808.87,71284.0,20901.07,220993.94
448,36395,110847.12,94582.05,19279.13,224708.3
449,36397,127573.38,76530.73,16840.12,220944.23
450,36399,145659.02,54421.93,18207.37,218288.32
451,36400,145659.02,57470.75,15656.25,218786.02
452,36404,137402.72,57119.08,17506.24,212028.04
453,36409,126863.22,77626.2,15875.86,220365.28
454,36413,127573.4,75650.23,15946.74,219170.37
455,36416,135977.69,73292.13,14465.15,223734.97
456,36422,110969.48,83564.33,26111.25,220645.06
457,36427,147109.63,45808.95,21860.21,214778.79
458,36433,110847.11,90513.91,21717.24,223078.26
459,36444,155308.47,39819.1,24855.52,219983.09
460,36445,146443.11,46233.19,20353.56,213029.86
461,36453,160158.35,33910.73,22607.03,216676.11
462,36454,153393.05,50270.21,11583.52,215246.78
463,36460,139706.99,60754.25,17860.94,218322.18
464,36464,127427.41,64905.0,23424.26,215756.67
465,36469,135981.25,51618.77,31554.19,219154.21
466,36473,128808.84,68286.7,16101.14,213196.68
467,36474,126863.21,71726.35,15857.94,214447.5
468,36477,155319.5,23950.22,33452.02,212721.74
469,36480,135981.23,56920.74,24965.16,217867.13
470,36482,135977.66,57472.87,24189.65,217640.18
471,36487,147069.67,49544.14,14186.65,210800.46
472,36490,135977.0,43249.38,38782.02,218008.4
473,36491,124496.5,78045.38,12540.44,215082.32
474,36492,145658.99,49033.55,16069.11,210761.65
475,36496,127405.78,71906.72,14465.72,213778.22
476,36500,135977.73,64913.69,17231.98,218123.4
477,36503,110847.12,86381.68,18061.07,215289.87
478,36504,110847.11,89676.35,15132.56,215656.02
479,36508,114667.02,82328.48,22048.32,219043.82
480,36509,128808.84,65924.39,19350.45,214083.68
481,36520,144946.6,44125.5,19080.12,208152.22
482,36529,163377.7,19415.08,24769.69,207562.47
483,36530,128808.88,64030.28,16450.61,209289.77
484,36537,168937.74,19706.73,16495.97,205140.44
485,36538,110847.1,79905.21,21505.29,212257.6
486,36543,147069.66,37764.32,21065.79,205899.77
487,36544,155319.48,29466.12,25224.93,210010.53
488,36545,135971.92,49588.57,30493.37,216053.86
489,36546,135977.74,44233.26,35669.44,215880.44
490,36550,110847.09,74342.21,27969.33,213158.63
491,36554,137819.43,55968.43,15581.62,209369.48
492,36555,135977.71,45540.61,30972.65,212490.97
493,36556,110847.11,77565.0,22402.46,210814.57
494,36557,128091.75,62748.33,16821.68,207661.76
495,36558,128091.77,64474.29,16011.53,208577.59
496,36559,128367.78,61180.7,23748.95,213297.43
497,36560,155320.07,25600.64,28045.16,208965.87
498,36564,128808.89,59361.68,19230.47,207401.04
499,36566,110847.11,88575.21,12104.88,211527.2
500,36567,128808.86,58917.87,20120.67,207847.4
501,36569,127573.36,63594.31,15946.76,207114.43
502,36572,110847.12,80423.7,18385.6,209656.42
503,36575,122024.6,69980.98,21810.42,213816.0
504,36581,147069.67,35237.37,19314.73,201621.77
505,36583,126863.21,64247.33,14899.64,206010.18
506,36584,155320.12,38672.9,12385.53,206378.55
507,36587,128091.74,61614.85,16031.48,205738.07
508,36591,128091.76,61686.38,16011.55,205789.69
509,36592,128209.05,60167.63,16370.8,204747.48
510,36593,128808.84,65409.12,12169.48,206387.44
511,36600,145764.42,41208.28,20777.96,207750.66
512,36609,133534.32,55837.24,20063.84,209435.4
513,36615,110847.11,77715.13,18605.18,207167.42
514,36617,128091.74,58744.71,17731.36,204567.81
515,36618,129121.08,39690.35,26351.59,195163.02
516,36620,119611.0,60306.93,21554.89,201472.82
517,36622,128808.84,62540.98,13210.0,204559.82
518,36628,121594.57,68365.53,15212.63,205172.73
519,36629,110847.13,77422.97,18614.69,206884.79
520,36631,128808.85,55041.92,18855.63,202706.4
521,36634,145659.0,38284.54,18255.51,202199.05
522,36640,135967.42,58227.28,12250.83,206445.53
523,36644,127573.39,63034.63,12725.09,203333.11
524,36645,145659.02,35771.29,18207.38,199637.69
525,36648,127573.35,54519.23,20804.82,202897.4
526,36649,147069.71,30683.5,21182.15,198935.36
527,36654,110847.08,76356.91,18295.89,205499.88
528,36657,110847.09,81794.45,13638.13,206279.67
529,36658,126863.17,60326.91,15857.94,203048.02
530,36659,117171.26,82054.1,11199.35,210424.71
531,36661,120085.24,62446.65,21208.85,203740.74
532,36662,125479.52,61637.72,16366.46,203483.7
533,36666,127573.4,58746.5,16143.84,202463.74
534,36667,147069.7,37393.05,14613.52,199076.27
535,36673,135977.71,43328.82,26433.73,205740.26
536,36676,127573.4,56282.48,18184.52,202040.4
537,36682,128808.87,55392.47,16790.17,200991.51
538,36685,110847.11,73449.7,19173.7,203470.51
539,36686,147069.69,32471.83,18383.7,197925.22
540,36691,112990.46,29459.27,56767.83,199217.56
541,36693,135977.75,44355.4,23664.04,203997.19
542,36695,135977.74,38909.04,29865.98,204752.76
543,36696,147069.68,32119.22,18339.16,197528.06
544,36698,145763.94,30622.46,26150.26,202536.66
545,36699,135977.64,48066.35,20460.93,204504.92
546,36700,145659.03,28580.84,22965.89,197205.76
547,36701,110847.13,74485.71,17704.53,203037.37
548,36708,135981.12,44366.83,23772.58,204120.53
549,36711,117162.68,76873.8,13344.07,207380.55
550,36714,110847.1,74183.47,18555.64,203586.21
551,36717,142563.67,37206.68,17820.44,197590.79
552,36729,135973.02,38894.05,30561.48,205428.55
553,36731,145659.01,40889.27,11095.53,197643.81
554,36736,140839.05,45074.19,17670.01,203583.25
555,36749,135977.75,55499.19,10675.57,202152.51
556,36750,128808.89,52972.81,16101.16,197882.86
557,36753,117162.66,52527.05,34915.73,204605.44
558,36760,138773.01,27608.96,30177.1,196559.07
559,36764,126863.22,56641.46,15240.81,198745.49
560,36766,135981.24,36445.42,29609.25,202035.91
561,36768,128091.79,55849.48,13903.83,197845.1
562,36781,110847.1,70950.68,18359.33,200157.11
563,36782,135967.49,50234.38,13977.17,200179.04
564,36783,120740.07,65531.3,12686.35,198957.72
565,36786,128091.8,53803.7,15352.44,197247.94
566,36788,122033.33,61309.26,21565.52,204908.11
